"Database","Source","Site_name","Site","Plot","Habitat_type","Habitat","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.24,0.25,0.46,NA,0.89,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.25,0.26,0.583,NA,0.69,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.26,0.27,0.752,NA,0.81,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.27,0.28,0.527,NA,0.56,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.28,0.29,0.589,NA,0.6,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.29,0.3,0.418,NA,0.63,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.3,0.31,0.614,NA,0.61,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.31,0.32,1.018,NA,0.48,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.32,0.33,0.746,NA,0.53,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.33,0.34,0.349,NA,0.4,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.34,0.35,0.368,NA,0.64,"https://doi.org/10.7489/12422-1"
