"Database","Source","study_id","study_site_core","site_id","Site","Plot","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_5","Esterillo",NA,NA,"5","Mangroves",2012,"15.1656","-86.8288",0,0.15,24.11,1.4,0.28,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_5","Esterillo",NA,NA,"5","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,30.09,1.23,0.21,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_5","Esterillo",NA,NA,"5","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,25.04,1.12,0.35,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_5","Esterillo",NA,NA,"5","Mangroves",2012,"15.1656","-86.8288",0.5,1.5,13.8,0.54,0.33,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_6","Esterillo",NA,NA,"6","Mangroves",2012,"15.1656","-86.8288",0,0.15,23.29,1.23,0.27,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_6","Esterillo",NA,NA,"6","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,21.89,1.15,0.16,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_6","Esterillo",NA,NA,"6","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,10.15,0.49,0.26,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_6","Esterillo",NA,NA,"6","Mangroves",2012,"15.1656","-86.8288",0.5,1.5,22.27,0.81,0.22,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_1","St Chila",NA,NA,"1","Mangroves",2012,"15.1800871","-86.8383125",0,0.15,25.42,1.21,0.17,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_1","St Chila",NA,NA,"1","Mangroves",2012,"15.1800871","-86.8383125",0.15,0.3,11.46,0.78,0.24,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_1","St Chila",NA,NA,"1","Mangroves",2012,"15.1800871","-86.8383125",0.3,0.5,9.14,0.44,0.42,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_1","St Chila",NA,NA,"1","Mangroves",2012,"15.1800871","-86.8383125",0.5,1.22,14.69,0.69,0.39,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_2","St Chila",NA,NA,"2","Mangroves",2012,"15.1800871","-86.8383125",0,0.15,23.9,1.11,0.21,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_2","St Chila",NA,NA,"2","Mangroves",2012,"15.1800871","-86.8383125",0.15,0.3,28.24,1.43,0.16,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_2","St Chila",NA,NA,"2","Mangroves",2012,"15.1800871","-86.8383125",0.3,0.5,2.19,0.11,0.76,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_2","St Chila",NA,NA,"2","Mangroves",2012,"15.1800871","-86.8383125",0.5,1,9.45,0.28,0.55,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_2","St Chila",NA,NA,"2","Mangroves",2012,"15.1800871","-86.8383125",1,1.28,9.61,0.56,0.57,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_3","St Chila",NA,NA,"3","Mangroves",2012,"15.1800871","-86.8383125",0,0.15,30.2,1.32,0.11,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_3","St Chila",NA,NA,"3","Mangroves",2012,"15.1800871","-86.8383125",0.15,0.3,9.41,0.69,0.31,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_3","St Chila",NA,NA,"3","Mangroves",2012,"15.1800871","-86.8383125",0.3,0.5,14.22,0.6,0.32,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_3","St Chila",NA,NA,"3","Mangroves",2012,"15.1800871","-86.8383125",0.5,1,15.24,0.41,0.42,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_St Chila_3","St Chila",NA,NA,"3","Mangroves",2012,"15.1800871","-86.8383125",1,1.32,14.97,0.02,1.17,"https://bg.copernicus.org/articles/12/3805/2015/"
