study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 11-12,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.11,0.12,0.86,0.09,NA,1.2,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 12-13,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.12,0.13,0.88,0.09,NA,1.03,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 13-14,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.13,0.14,0.89,0.09,NA,1,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 14-15,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.14,0.15,0.84,0.09,NA,1.18,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 15-16,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.15,0.16,0.88,0.09,NA,1,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 16-17,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.16,0.17,0.91,0.09,NA,1.26,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 17-18,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.17,0.18,0.93,0.09,NA,1.03,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 18-19,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.18,0.19,0.87,0.09,NA,1.17,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 19-20,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.19,0.2,0.77,0.09,NA,1.23,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 20-21,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.2,0.21,1.23,0.1,NA,1.14,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 21-22,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.21,0.22,0.79,0.09,NA,1.08,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 22-23,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.22,0.23,1.05,0.09,NA,1.1,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 23-24,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.23,0.24,1.01,0.09,NA,1.21,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 24-25,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.24,0.25,1.21,0.09,NA,0.99,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 25-26,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.25,0.26,1.33,0.1,NA,1.25,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 26-27,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.26,0.27,0.57,0.08,NA,1.16,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 27-28,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.27,0.28,0.59,0.08,NA,1.13,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 28-29,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.28,0.29,0.93,0.09,NA,1.16,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 29-30,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.29,0.3,1.19,0.09,NA,1.02,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 30-31,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.3,0.31,1.12,0.09,NA,1.21,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 31-32,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.31,0.32,1.45,0.1,NA,1.1,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 32-33,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.32,0.33,1.78,0.11,NA,0.99,
