LON,LAT,REGION,ENVSETT,SITE,CORE,DEPTH,subsmple_up_depth_cm,subsmple_lw_depth_cm,core_up_depth_cm,core_lw_depth_cm,core_depth_interval_cm,N_pcent,C_pcent,BD_gcc,,,,,
-84.920191,9.827158,N11,BR,GN3,2,3,37.5,42.5,30,50,20,#REF!,#REF!,0.916,,,,,
-84.920191,9.827158,N11,BR,GN3,2,4,72.5,77.5,50,100,50,#REF!,#REF!,0.517,,,,,
-84.920191,9.827158,N11,BR,GN3,3,1,5,10,0,15,15,#REF!,#REF!,0.922,,,,,
-84.920191,9.827158,N11,BR,GN3,3,2,20,25,15,30,15,#REF!,#REF!,0.864,,,,,
-84.920191,9.827158,N11,BR,GN3,3,3,37.5,42.5,30,50,20,#REF!,#REF!,0.880,,,,,
-84.920191,9.827158,N11,BR,GN3,3,4,72.5,77.5,50,100,50,#REF!,#REF!,0.732,,,,,
-88.331444,13.189806,N13,LG,ES1,1,1,5,10,0,15,15,#REF!,#REF!,0.206,,,,,
-88.331444,13.189806,N13,LG,ES1,1,2,20,25,15,30,15,#REF!,#REF!,0.175,,,,,
-88.331444,13.189806,N13,LG,ES1,1,3,37.5,42.5,30,50,20,#REF!,#REF!,0.232,,,,,
-88.331444,13.189806,N13,LG,ES1,1,4,72.5,77.5,50,100,50,#REF!,#REF!,0.248,,,,,
-88.331444,13.189806,N13,LG,ES1,2,1,5,10,0,15,15,#REF!,#REF!,0.141,,,,,
-88.331444,13.189806,N13,LG,ES1,2,2,20,25,15,30,15,#REF!,#REF!,0.189,,,,,
-88.331444,13.189806,N13,LG,ES1,2,3,37.5,42.5,30,50,20,#REF!,#REF!,0.155,,,,,
-88.331444,13.189806,N13,LG,ES1,2,4,72.5,77.5,50,100,50,#REF!,#REF!,0.289,,,,,
-88.331444,13.189806,N13,LG,ES1,3,1,5,10,0,15,15,#REF!,#REF!,0.125,,,,,
-88.331444,13.189806,N13,LG,ES1,3,2,20,25,15,30,15,#REF!,#REF!,0.172,,,,,
-88.331444,13.189806,N13,LG,ES1,3,3,37.5,42.5,30,50,20,#REF!,#REF!,0.259,,,,,
-88.331444,13.189806,N13,LG,ES1,3,4,72.5,77.5,50,100,50,#REF!,#REF!,0.172,,,,,
-88.788167,13.256417,N13,LG,ES2,1,1,5,10,0,15,15,#REF!,#REF!,0.241,,,,,
-88.788167,13.256417,N13,LG,ES2,1,2,20,25,15,30,15,#REF!,#REF!,0.274,,,,,
-88.788167,13.256417,N13,LG,ES2,1,3,37.5,42.5,30,50,20,#REF!,#REF!,0.291,,,,,
-88.788167,13.256417,N13,LG,ES2,1,4,72.5,77.5,50,100,50,#REF!,#REF!,0.327,,,,,
-88.788167,13.256417,N13,LG,ES2,2,1,5,10,0,15,15,#REF!,#REF!,0.215,,,,,
