study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_cm,L_depth_cm,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,12,11,4.676793701,0.265396618,NA,0.442885765,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,29,28,4.105174406,0.265421031,NA,0.447227512,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,60,59,5.258823257,0.202898338,NA,0.447329371,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,5,4,8.402009117,0.472464181,NA,0.452587851,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,13,12,7.750234136,0.343197447,NA,0.458826724,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,53,52,2.026606279,0.119267006,NA,0.460851175,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,10,9,6.134058431,0.492312099,NA,0.461271344,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,20,19,4.556799841,0.415801041,NA,0.46762481,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,62,61,5.006569745,0.190559354,NA,0.468388753,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,9,8,7.398577003,0.535824807,NA,0.473290726,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,12,11,5.454835526,0.464868528,NA,0.473965543,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,6,5,8.701251486,0.479507632,NA,0.479707853,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,17,16,4.671631939,0.29478955,NA,0.483081938,
Jupin_et_al_unpublished,,CP,LTMCA01,,Mangrove,Mangrove,2021,18.619833,-91.267861,1,0,14.32375056,0.522194837,NA,0.48399867,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,25,24,3.709506116,0.296020032,NA,0.484024135,
Jupin_et_al_unpublished,,CP,LTMCA01,,Mangrove,Mangrove,2021,18.619833,-91.267861,16,15,2.377021821,0.23043351,NA,0.486634276,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,7,6,6.789039543,0.428845076,NA,0.486965318,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,8,7,6.39750553,0.530923318,NA,0.487334558,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,11,10,5.996218773,0.53268572,NA,0.491587178,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,19,18,4.689573831,0.413214369,NA,0.49191822,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,59,58,2.451220734,0.136183948,NA,0.492643967,
Jupin_et_al_unpublished,,EV,EVC02,,Mangrove,Mangrove,2021,23.438944,-106.573861,4,3,6.31201903,0.395640593,NA,0.493208012,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,15,14,5.364060649,0.319338143,NA,0.494872136,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,28,27,2.948575695,0.205886246,NA,0.500487122,
Jupin_et_al_unpublished,,CP,LTMCA03,,Mangrove,Mangrove,2021,18.627417,-91.279389,68,67,2.673220124,0.217944047,NA,0.500512587,
