study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.32,0.33,1.05,0.05,2.23,1.24,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.33,0.34,1.44,0.07,2.62,0.93,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.34,0.35,0.96,0.05,2.01,1.18,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.35,0.36,1.08,0.05,2.1,1.51,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.36,0.37,0.92,0.04,2.08,1.03,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.37,0.38,0.76,0.04,1.84,1.7,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.38,0.39,0.76,0.04,1.64,1.19,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.39,0.4,0.8,0.04,1.56,1.28,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.4,0.41,0.65,0.03,1.61,1.77,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.41,0.42,0.63,0.03,1.42,0.86,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.42,0.43,0.65,0.03,1.76,1.51,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.43,0.44,0.67,0.03,1.84,0.92,
