Source,Site_name,Site,Latitude,Longitude,Core_id,Year_collected,U_depth_m,L_depth_m,U_depth_cm,L_depth_cm,Soil moisture content (%),BD_reported_g_cm3,OC_perc,N_perc,Method,Soil loss-on-ignition (mg·g−1),Total soil organic carbon (mg·g−1),Total soil nitrogen (mg·g−1),Refractory soil organic carbon (mg·g−1),Refractory soil nitrogen (mg·g−1),Habitat_type,,,,,,
McClellan_et_al_2021,S50-1-15,S50,29.946667,93.400833,1,2016,0.15,0.2,15,20,48,0.763,5.29,0.364,EA,121.4,52.9,3.64,39,2.02,Marsh,,,,,,
McClellan_et_al_2021,S50-1-20,S50,29.946667,93.400833,1,2016,0.2,0.25,20,25,41,0.907,2.78,0.206,EA,77.1,27.8,2.06,20.2,1.05,Marsh,,,,,,
McClellan_et_al_2021,S50-1-25,S50,29.946667,93.400833,1,2016,0.25,0.3,25,30,41,0.945,2.58,0.179,EA,77.3,25.8,1.79,19.6,0.98,Marsh,,,,,,
McClellan_et_al_2021,S50-2-00,S50,29.946667,93.400833,2,2016,0,0.05,0,5,75,0.244,10.49,0.692,EA,268.7,104.9,6.92,71.4,1.96,Marsh,,,,,,
McClellan_et_al_2021,S50-2-05,S50,29.946667,93.400833,2,2016,0.05,0.1,5,10,79,0.212,16.42,1.06,EA,385.2,164.2,10.6,112.4,2.99,Marsh,,,,,,
McClellan_et_al_2021,S50-2-10,S50,29.946667,93.400833,2,2016,0.1,0.15,10,15,66,0.407,13.03,0.754,EA,275,130.3,7.54,123.4,3.65,Marsh,,,,,,
McClellan_et_al_2021,S50-2-15,S50,29.946667,93.400833,2,2016,0.15,0.2,15,20,63,0.441,15.57,0.967,EA,298.6,155.7,9.67,115.5,3.3,Marsh,,,,,,
McClellan_et_al_2021,S50-2-20,S50,29.946667,93.400833,2,2016,0.2,0.25,20,25,69,0.375,18.08,1.127,EA,337.4,180.8,11.27,136.8,3.84,Marsh,,,,,,
McClellan_et_al_2021,S50-2-25,S50,29.946667,93.400833,2,2016,0.25,0.3,25,30,76,0.263,19.21,1.224,EA,369.6,192.1,12.24,139.3,3.82,Marsh,,,,,,
McClellan_et_al_2021,S50-3-00,S50,29.946667,93.400833,3,2016,0,0.05,0,5,69,0.349,11.14,0.766,EA,227.5,111.4,7.66,74.2,2.6,Marsh,,,,,,
McClellan_et_al_2021,S50-3-05,S50,29.946667,93.400833,3,2016,0.05,0.1,5,10,48,0.772,5.15,0.367,EA,108.9,51.5,3.67,42.1,1.91,Marsh,,,,,,
McClellan_et_al_2021,S50-3-10,S50,29.946667,93.400833,3,2016,0.1,0.15,10,15,29,1.237,1.65,0.114,EA,39.3,16.5,1.14,11.7,0.6,Marsh,,,,,,
McClellan_et_al_2021,S50-3-15,S50,29.946667,93.400833,3,2016,0.15,0.2,15,20,26,1.394,0.94,0.061,EA,26.3,9.4,0.61,5.6,0.22,Marsh,,,,,,
McClellan_et_al_2021,S50-3-20,S50,29.946667,93.400833,3,2016,0.2,0.25,20,25,28,1.25,1.09,0.061,EA,26.4,10.9,0.61,5.6,0.2,Marsh,,,,,,
McClellan_et_al_2021,S50-3-25,S50,29.946667,93.400833,3,2016,0.25,0.3,25,30,28,1.293,1,0.069,EA,28.2,10,0.69,4.5,0.16,Marsh,,,,,,
McClellan_et_al_2021,S50-4-00,S50,29.946667,93.400833,4,2016,0,0.05,0,5,83,0.114,17.2,1.146,EA,433.3,172,11.46,114.1,3.14,Marsh,,,,,,
McClellan_et_al_2021,S50-4-05,S50,29.946667,93.400833,4,2016,0.05,0.1,5,10,75,0.235,8.01,0.532,EA,223.9,80.1,5.32,50.6,1.33,Marsh,,,,,,
McClellan_et_al_2021,S50-4-10,S50,29.946667,93.400833,4,2016,0.1,0.15,10,15,89,0.107,21.68,1.555,EA,558.2,216.8,15.55,137.4,3.85,Marsh,,,,,,
McClellan_et_al_2021,S50-4-15,S50,29.946667,93.400833,4,2016,0.15,0.2,15,20,87,0.115,23.72,1.621,EA,583.1,237.2,16.21,169.7,4.61,Marsh,,,,,,
McClellan_et_al_2021,S50-4-20,S50,29.946667,93.400833,4,2016,0.2,0.25,20,25,81,0.203,19.82,1.221,EA,474.6,198.2,12.21,144.8,3.65,Marsh,,,,,,
McClellan_et_al_2021,S50-4-25,S50,29.946667,93.400833,4,2016,0.25,0.3,25,30,76,0.267,20.43,1.322,EA,420.7,204.3,13.22,149.8,4.07,Marsh,,,,,,
McClellan_et_al_2021,S50-5-00,S50,29.946667,93.400833,5,2016,0,0.05,0,5,86,0.11,20.78,1.308,EA,516.4,207.8,13.08,142.6,3.56,Marsh,,,,,,
McClellan_et_al_2021,S50-5-05,S50,29.946667,93.400833,5,2016,0.05,0.1,5,10,77,0.21,10.1,0.724,EA,271.9,101,7.24,62,1.7,Marsh,,,,,,
McClellan_et_al_2021,S50-5-10,S50,29.946667,93.400833,5,2016,0.1,0.15,10,15,81,0.16,15.09,1.015,EA,378,150.9,10.15,94.7,2.79,Marsh,,,,,,
McClellan_et_al_2021,S50-5-15,S50,29.946667,93.400833,5,2016,0.15,0.2,15,20,77,0.212,14.2,0.954,EA,367.2,142,9.54,113,3.38,Marsh,,,,,,
McClellan_et_al_2021,S50-5-20,S50,29.946667,93.400833,5,2016,0.2,0.25,20,25,71,0.344,17.65,1.176,EA,379.6,176.5,11.76,127.2,3.61,Marsh,,,,,,
McClellan_et_al_2021,S50-5-25,S50,29.946667,93.400833,5,2016,0.25,0.3,25,30,73,0.316,19.18,1.257,EA,400.3,191.8,12.57,138,3.81,Marsh,,,,,,
McClellan_et_al_2021,S50-6-00,S50,29.946667,93.400833,6,2016,0,0.05,0,5,81,0.138,16.94,1.061,EA,419.6,169.4,10.61,103.5,3.02,Marsh,,,,,,
McClellan_et_al_2021,S50-6-05,S50,29.946667,93.400833,6,2016,0.05,0.1,5,10,70,0.289,8.14,0.537,EA,197,81.4,5.37,49.5,1.53,Marsh,,,,,,
McClellan_et_al_2021,S50-6-10,S50,29.946667,93.400833,6,2016,0.1,0.15,10,15,57,0.462,10,0.617,EA,202.4,100,6.17,69.6,2.13,Marsh,,,,,,
McClellan_et_al_2021,S50-6-15,S50,29.946667,93.400833,6,2016,0.15,0.2,15,20,56,0.512,12.87,0.779,EA,252.9,128.7,7.79,97.3,2.85,Marsh,,,,,,
McClellan_et_al_2021,S50-6-20,S50,29.946667,93.400833,6,2016,0.2,0.25,20,25,72,0.3,19.35,1.139,EA,369.3,193.5,11.39,149.5,3.98,Marsh,,,,,,
McClellan_et_al_2021,S50-6-25,S50,29.946667,93.400833,6,2016,0.25,0.3,25,30,78,0.212,22.48,1.329,EA,447.5,224.8,13.29,162.9,4.22,Marsh,,,,,,
McClellan_et_al_2021,W16-1-00,W16,29.501111,-91.480833,1,2016,0,0.05,0,5,35,1.171,0.92,0.062,EA,36.5,9.2,0.62,3.5,0.11,Marsh,,,,,,
McClellan_et_al_2021,W16-1-05,W16,29.501111,-91.480833,1,2016,0.05,0.1,5,10,38,0.981,1.16,0.068,EA,46.4,11.6,0.68,5.4,0.16,Marsh,,,,,,
McClellan_et_al_2021,W16-1-10,W16,29.501111,-91.480833,1,2016,0.1,0.15,10,15,33,1.103,0.88,0.06,EA,37.7,8.8,0.6,3.4,0.11,Marsh,,,,,,
McClellan_et_al_2021,W16-1-15,W16,29.501111,-91.480833,1,2016,0.15,0.2,15,20,25,1.399,0.52,0.034,EA,22.5,5.2,0.34,2.6,0.08,Marsh,,,,,,
McClellan_et_al_2021,W16-1-20,W16,29.501111,-91.480833,1,2016,0.2,0.25,20,25,22,1.54,0.59,0.033,EA,22.1,5.9,0.33,3.9,0.11,Marsh,,,,,,
McClellan_et_al_2021,W16-1-25,W16,29.501111,-91.480833,1,2016,0.25,0.3,25,30,22,1.451,0.63,0.037,EA,23,6.3,0.37,2.9,0.08,Marsh,,,,,,
