"","Database","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"73","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.04,0.05,7.793154716,0.646448374,0.287781991,"https://doi.org/10.1038/s41558-018-0162-5"
"74","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.09,0.1,5.649071217,0.472075194,0.415635719,"https://doi.org/10.1038/s41558-018-0162-5"
"75","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.14,0.15,8.232369423,0.544553399,0.457599386,"https://doi.org/10.1038/s41558-018-0162-5"
"76","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.19,0.2,4.786303043,0.41488412,0.614795414,"https://doi.org/10.1038/s41558-018-0162-5"
"77","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.24,0.25,6.090960026,0.505095065,0.432656177,"https://doi.org/10.1038/s41558-018-0162-5"
"78","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.29,0.3,6.407513618,0.525820971,0.466300165,"https://doi.org/10.1038/s41558-018-0162-5"
"79","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.34,0.35,6.700222492,0.486901104,0.446904221,"https://doi.org/10.1038/s41558-018-0162-5"
"80","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.39,0.4,6.3533988,0.497999936,0.426466034,"https://doi.org/10.1038/s41558-018-0162-5"
"81","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.44,0.45,5.124819756,0.459042847,0.436556065,"https://doi.org/10.1038/s41558-018-0162-5"
"82","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.49,0.5,6.365143299,0.565273643,0.36790806,"https://doi.org/10.1038/s41558-018-0162-5"
"83","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.54,0.56,4.986813068,0.494691432,0.488989036,"https://doi.org/10.1038/s41558-018-0162-5"
"84","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.6,0.62,3.983460426,0.395605057,0.607689656,"https://doi.org/10.1038/s41558-018-0162-5"
"85","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.66,0.68,4.965538979,0.42593956,0.548980703,"https://doi.org/10.1038/s41558-018-0162-5"
"86","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.72,0.74,4.66908741,0.377761096,0.523762932,"https://doi.org/10.1038/s41558-018-0162-5"
"87","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0,0.01,14.67889404,1.163858414,0.321245778,"https://doi.org/10.1038/s41558-018-0162-5"
"88","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.01,0.02,12.03499413,0.862074614,0.260856574,"https://doi.org/10.1038/s41558-018-0162-5"
"89","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.02,0.03,15.78703117,1.023166537,0.197738787,"https://doi.org/10.1038/s41558-018-0162-5"
"90","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.03,0.04,13.99405956,0.986256897,0.225661397,"https://doi.org/10.1038/s41558-018-0162-5"
"91","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.04,0.05,10.89640141,0.88435626,0.199833013,"https://doi.org/10.1038/s41558-018-0162-5"
"92","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.09,0.1,13.53439236,0.95165062,0.312932187,"https://doi.org/10.1038/s41558-018-0162-5"
"93","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.14,0.15,14.5756712,0.998571634,0.261426398,"https://doi.org/10.1038/s41558-018-0162-5"
"94","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.19,0.2,4.345289707,0.353713989,0.467507998,"https://doi.org/10.1038/s41558-018-0162-5"
